lag_steps,r,p_value
-12,0.024046257994932846,0.32303688964238225
-11,0.02437396336641666,0.3163412954027882
-10,0.024550721791146597,0.3127003611953193
-9,0.02280626946934341,0.34819567128911016
-8,0.02311563864093505,0.341551287738353
-7,0.023210279932597333,0.3394352185894447
-6,0.02123779366707534,0.3819344054887827
-5,0.02159056352083484,0.3739351489982358
-4,0.0214199432173538,0.37758295938714126
-3,0.02131980141794959,0.37967720817992084
-2,0.02137793311853663,0.37823852048761497
-1,0.021142180056572594,0.38338097797115983
0,0.020829627880374412,0.3903145518438227
1,0.020380536823908422,0.40075434721328185
2,0.019829608537626327,0.4137482669937226
3,0.019488767298681035,0.4219587342361008
4,0.019699432956382868,0.41709544865533094
5,0.019650581568876883,0.4183889978601984
6,0.019833543694101084,0.41420600855857465
7,0.01901032848107652,0.4339873291969012
8,0.018020220186939523,0.45844357355555293
9,0.018399628079448328,0.4491689662591757
10,0.018654559908550625,0.4430447309247019
11,0.018760484888194318,0.4405943229622326
12,0.01902092944756764,0.43441052407022573
