Company And Founder Profile,Company And Founder Profile,Company And Founder Profile,Company And Founder Profile,Company And Founder Profile
"Validated facts and source links for funder forms, biographies, eligibility checks, and diligence.","Validated facts and source links for funder forms, biographies, eligibility checks, and diligence.","Validated facts and source links for funder forms, biographies, eligibility checks, and diligence.","Validated facts and source links for funder forms, biographies, eligibility checks, and diligence.","Validated facts and source links for funder forms, biographies, eligibility checks, and diligence."
Field,Value,Evidence status,Source,URL
Company name,R&A Consulting and Brokerage Services Ltd,Verified public record,Companies House,https://find-and-update.company-information.service.gov.uk/company/NI696693
Company number,NI696693,Verified public record,Companies House,https://find-and-update.company-information.service.gov.uk/company/NI696693
Company status,Active,Verified public record,Companies House,https://find-and-update.company-information.service.gov.uk/company/NI696693
Registered office,"1 Quadrant Place, Belfast, Northern Ireland, BT12 4HX",Verified public record,Companies House,https://find-and-update.company-information.service.gov.uk/company/NI696693
Incorporated,26 April 2023,Verified public record,Companies House,https://find-and-update.company-information.service.gov.uk/company/NI696693
Director,Gary Anthony Leckey,Verified public record,Companies House officers,https://find-and-update.company-information.service.gov.uk/company/NI696693/officers
PSC,"Gary Anthony Leckey, 75% or more shares and voting rights",Verified public record,Companies House PSC,https://find-and-update.company-information.service.gov.uk/company/NI696693/persons-with-significant-control
SIC,"62020 IT consultancy, 62090 other IT services, 66220 insurance agents and brokers",Verified public record,Companies House,https://find-and-update.company-information.service.gov.uk/company/NI696693
Accounts,Last accounts made up to 30 April 2026,Verified public record,Companies House,https://find-and-update.company-information.service.gov.uk/company/NI696693
Confirmation statement,"Overdue: next statement date 25 April 2026, due 9 May 2026",Risk / action required,Companies House,https://find-and-update.company-information.service.gov.uk/company/NI696693
Aureon Institute / research role,Research Director / Aureon Institute public profile; HNC framework and related research output,Public profile,ResearchGate,https://www.researchgate.net/profile/Gary-Leckey
GitHub organisation,"Aureon Institute / RA-CONSULTING, public Aureon repositories",Public profile,GitHub,https://github.com/RA-CONSULTING
ORCID,Gary Leckey ORCID 0009-0004-2792-4649,Public profile,ORCID,https://orcid.org/0009-0004-2792-4649
Research website,R&A Consulting research page referenced publicly,Public profile,Website,https://www.raconsultingandbrokerage.com/research
