Source Register,Source Register,Source Register
URLs used to validate company facts and opportunity records. Accessed 2026-07-04 unless updated.,URLs used to validate company facts and opportunity records. Accessed 2026-07-04 unless updated.,URLs used to validate company facts and opportunity records. Accessed 2026-07-04 unless updated.
Source,URL,Use
Companies House overview,https://find-and-update.company-information.service.gov.uk/company/NI696693,"Company facts, accounts, status, confirmation statement."
Companies House filing history,https://find-and-update.company-information.service.gov.uk/company/NI696693/filing-history,Recent accounts and strike-off discontinuance filing history.
Companies House officers,https://find-and-update.company-information.service.gov.uk/company/NI696693/officers,Director record.
Companies House PSC,https://find-and-update.company-information.service.gov.uk/company/NI696693/persons-with-significant-control,PSC/control record.
ResearchGate profile,https://www.researchgate.net/profile/Gary-Leckey,Research profile and publications.
GitHub organisation,https://github.com/RA-CONSULTING,Public Aureon repos and organisation profile.
ORCID,https://orcid.org/0009-0004-2792-4649,Research identity.
UKRI funding finder,https://www.ukri.org/opportunity/,Current UKRI and Innovate UK funding opportunities.
Next Wave,https://www.ukri.org/opportunity/next-wave-breakthrough-wave-1/,Innovate UK Createch opportunity.
UK-Switzerland CR&D,https://www.ukri.org/opportunity/uk-switzerland-crd-round-3/,International CR&D opportunity.
Quantum enabled sensing and PNT,https://www.ukri.org/opportunity/scaling-supply-chains-for-quantum-enabled-sensing-and-pnt/,Quantum sensing supply chain opportunity.
Hybrid Algorithms for Quantum Advantage,https://www.ukri.org/opportunity/hybrid-algorithms-for-quantum-advantage/,EPSRC quantum algorithms opportunity.
Invest NI Innovation Funding Advisory Service,https://www.investni.com/support-for-business/research-and-development-support/innovation-funding-advisory-service,NI business funding advice and bid review.
Invest NI Grant for R&D,https://www.investni.com/support-for-business/research-and-development-support/grant-for-research-and-development,NI R&D grant route.
Invest NI Business Innovation Grant,https://www.investni.com/support-for-business/innovation-support/business-innovation-grant,NI SME innovation grant watch item.
Invest NI Innovation Vouchers,https://www.investni.com/support-for-business/innovation-support/innovation-vouchers,Knowledge provider voucher route and watch item.
Digital Transformation Flexible Fund,https://www.nibusinessinfo.co.uk/content/digital-transformation-flexible-fund,NI small/micro digital transformation grant watch item.
InterTradeIreland Innovation Boost,https://intertradeireland.com/innovation/innovation-boost,Island-of-Ireland innovation and academic/project-manager support.
EIC Accelerator,https://eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator_en,European deep-tech SME funding.
EIC Accelerator FAQ,https://eic.ec.europa.eu/eic-frequently-asked-questions/faqs-eic-accelerator_en,Cut-offs and eligibility details.
Eurostars Call 11,https://www.eurekanetwork.org/programmes-and-calls/eurostars/eurostars-call-for-projects-september-2026/,International SME-led R&D call.
Accelerated Knowledge Transfer Partnerships 6,https://www.ukri.org/opportunity/accelerated-knowledge-transfer-partnerships-6-akt-6/,Academic-led innovation sprint route.
Future UKRI opportunities,https://www.ukri.org/apply-for-funding/future-research-and-innovation-funding-opportunities/,"Upcoming AI, sustainable AI, and explainable AI watchlist."
Horizon Europe Cluster 4,https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe/cluster-4-digital-industry-and-space_en,"Digital, AI, data, robotics consortium route."
Eureka Network,https://www.eurekanetwork.org/,Open international innovation calls and partner routes.
DASA Open Call,https://www.gov.uk/government/collections/defence-and-security-accelerator-dasa-open-call-for-innovation,Defence and security open-call route.
Consumer Led Flexibility,https://www.ukri.org/opportunity/consumer-led-flexibility-for-the-clean-energy-superpower-mission/,Sector-adjacent energy flexibility call.
Robotics Adoption Central Convening Body,https://www.ukri.org/opportunity/robotics-adoption-central-convening-body-summer-2026/,Sector-adjacent robotics adoption route.
Defence Innovation Loan,https://www.gov.uk/government/publications/competition-defence-innovation-loans-fy2627-cycle-1/competition-document-defence-innovation-loan-fy2627-cycle-1,Future defence loan route and criteria.
Frontier AI Discovery archive,https://apply-for-innovation-funding.service.gov.uk/competition/2422/overview/a5c16dd4-c60d-4cc1-8035-33fe76a52489,Closed AI feasibility template.
